Institution Name,Students enrolled exclusively in distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled in some but not all distance education courses (EF2018A_DIST  Undergraduate total),Student not enrolled in any distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled exclusively in distance education courses (EF2018A_DIST  Graduate),Students enrolled in some but not all distance education courses (EF2018A_DIST  Graduate),Student not enrolled in any distance education courses (EF2018A_DIST  Graduate),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Graduate)
Midfield Institute of Cosmetology,NA,NA,23,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midland College,845,1000,3607,NA,NA,NA,942,1028,3594,NA,NA,NA,943,1079,3623,NA,NA,NA,927,955,3548,NA,NA,NA,1018,919,2681,NA,NA,NA,912,1097,3224,NA,NA,NA,1047,1183,3300,NA,NA,NA
Midland University,10,126,1585,NA,NA,152,20,137,1501,0,0,135,17,98,1440,NA,NA,154,19,136,1343,NA,NA,148,0,143,1093,NA,NA,126,0,79,1113,63,0,33,0,182,915,NA,NA,29
Midlands Technical College,678,2226,6988,NA,NA,NA,1095,3630,5900,NA,NA,NA,882,3413,6454,NA,NA,NA,813,3354,6779,NA,NA,NA,816,3181,7427,NA,NA,NA,750,3113,7771,NA,NA,NA,824,3129,7996,NA,NA,NA
Midstate College,6,180,40,NA,NA,NA,11,228,40,NA,NA,NA,1,342,62,NA,NA,NA,17,434,8,NA,NA,NA,85,396,40,NA,NA,NA,59,407,77,NA,NA,NA,76,425,91,NA,NA,NA
Midway Paris Beauty School,NA,NA,68,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,93,NA,NA,NA,0,0,108,NA,NA,NA,0,0,103,NA,NA,NA,0,0,94,NA,NA,NA
Midway University,343,460,653,212,0,0,373,349,280,215,0,0,458,261,286,189,0,0,542,247,155,91,5,15,492,272,303,48,7,18,620,246,381,48,13,43,559,516,359,122,19,0
Midwest College of Oriental Medicine-Evanston,NA,NA,19,NA,NA,39,NA,NA,22,NA,NA,54,NA,NA,20,NA,NA,72,NA,NA,27,NA,NA,75,NA,NA,49,NA,NA,77,NA,NA,31,NA,NA,76,NA,NA,42,NA,NA,91
Midwest College of Oriental Medicine-Racine,NA,NA,15,NA,NA,36,NA,NA,19,NA,NA,36,NA,NA,16,NA,NA,44,NA,NA,14,NA,NA,51,NA,NA,40,NA,NA,53,NA,NA,20,NA,NA,54,NA,NA,27,NA,NA,58
Midwest Institute,2,1,272,NA,NA,NA,1,4,265,NA,NA,NA,4,0,239,NA,NA,NA,14,8,180,NA,NA,NA,5,10,210,NA,NA,NA,0,2,177,NA,NA,NA,NA,NA,183,NA,NA,NA
Midwest Technical Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,243,NA,NA,NA,0,0,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midwest Technical Institute-East Peoria,NA,NA,529,NA,NA,NA,NA,NA,488,NA,NA,NA,NA,NA,492,NA,NA,NA,NA,NA,387,NA,NA,NA,0,0,651,NA,NA,NA,0,0,849,NA,NA,NA,NA,NA,545,NA,NA,NA
Midwest Technical Institute-Moline,NA,NA,341,NA,NA,NA,NA,NA,308,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,251,NA,NA,NA,0,0,289,NA,NA,NA,0,0,313,NA,NA,NA,0,0,288,NA,NA,NA
Midwest Technical Institute-Ridgeland,NA,NA,582,NA,NA,NA,NA,NA,417,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,326,NA,NA,NA,0,0,422,NA,NA,NA,0,0,428,NA,NA,NA,0,0,411,NA,NA,NA
Midwest Technical Institute-Springfield,NA,NA,549,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,401,NA,NA,NA,NA,NA,373,NA,NA,NA,0,0,506,NA,NA,NA,0,0,464,NA,NA,NA,0,0,764,NA,NA,NA
Midwest Technical Institute-Springfield,NA,NA,405,NA,NA,NA,NA,NA,313,NA,NA,NA,NA,NA,282,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,257,NA,NA,NA,0,0,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midwestern Baptist Theological Seminary,245,93,254,815,125,1265,207,89,206,558,247,1016,149,98,203,453,207,738,95,58,172,326,103,665,78,60,213,279,114,625,54,45,162,219,93,559,33,50,166,199,90,561
Midwestern Career College,NA,NA,537,NA,NA,NA,NA,NA,563,NA,NA,NA,NA,NA,394,NA,NA,NA,NA,NA,315,NA,NA,NA,0,0,85,NA,NA,NA,0,0,45,NA,NA,NA,0,29,56,NA,NA,NA
Midwestern State University,856,1644,2872,475,96,159,773,1310,3247,421,86,243,745,1271,3303,384,86,275,693,1101,3493,370,92,294,615,1048,3481,335,73,322,684,1058,3451,282,101,294,680,960,3598,271,82,325
Midwestern University-Downers Grove,NA,NA,NA,NA,NA,2984,NA,NA,NA,NA,NA,2971,NA,NA,NA,NA,NA,2914,NA,NA,NA,NA,NA,2932,NA,NA,NA,NA,NA,2917,NA,NA,NA,NA,NA,2730,NA,NA,NA,NA,NA,2547
Midwestern University-Glendale,NA,NA,NA,26,0,3797,NA,NA,NA,24,0,3772,NA,NA,NA,12,0,3540,NA,NA,NA,NA,NA,3295,NA,NA,NA,NA,NA,3146,NA,NA,NA,NA,NA,2984,NA,NA,NA,NA,NA,2936
Midwives College of Utah,257,NA,NA,5,NA,NA,242,NA,NA,5,NA,NA,235,NA,NA,6,NA,NA,229,NA,NA,7,NA,NA,207,NA,NA,10,NA,NA,151,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
Mifflin County Academy of Science and Technology,NA,NA,52,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,61,NA,NA,NA
Milan Institute of Cosmetology,NA,NA,79,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,100,NA,NA,NA,0,0,135,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,202,NA,NA,NA
Milan Institute of Cosmetology-El Paso,NA,NA,276,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,318,NA,NA,NA,NA,NA,435,NA,NA,NA,0,0,410,NA,NA,NA,NA,NA,458,NA,NA,NA,NA,NA,375,NA,NA,NA
Milan Institute of Cosmetology-Fairfield,NA,NA,63,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,115,NA,NA,NA
Milan Institute of Cosmetology-La Quinta,NA,NA,130,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,138,NA,NA,NA
Milan Institute of Cosmetology-Reno,NA,NA,156,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,254,NA,NA,NA
Milan Institute of Cosmetology-San Antonio Military,NA,NA,111,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA,270,NA,NA,NA
Milan Institute of Cosmetology-Visalia,NA,NA,184,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,239,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,275,NA,NA,NA
Milan Institute-Amarillo,NA,NA,74,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,150,NA,NA,NA
Milan Institute-Bakersfield,NA,NA,346,NA,NA,NA,NA,NA,341,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,411,NA,NA,NA,NA,NA,393,NA,NA,NA
Milan Institute-Bakersfield West,NA,NA,79,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milan Institute-Boise,NA,NA,95,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,294,NA,NA,NA
Milan Institute-Fresno,NA,NA,417,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,422,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,488,NA,NA,NA,NA,NA,492,NA,NA,NA
Milan Institute-Las Vegas,NA,NA,267,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,NA,426,NA,NA,NA,NA,NA,386,NA,NA,NA,NA,NA,402,NA,NA,NA,NA,NA,313,NA,NA,NA
Milan Institute-Merced,NA,NA,311,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,NA,334,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milan Institute-Palm Desert,NA,NA,133,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,272,NA,NA,NA,NA,NA,247,NA,NA,NA
Milan Institute-San Antonio Ingram,NA,NA,222,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,287,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,314,NA,NA,NA,NA,NA,316,NA,NA,NA
Milan Institute-Sparks,NA,NA,165,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,327,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,328,NA,NA,NA,NA,NA,338,NA,NA,NA
Milan Institute-Visalia,NA,NA,273,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,393,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA,333,NA,NA,NA
Mildred Elley School-Albany Campus,29,253,140,NA,NA,NA,53,388,80,NA,NA,NA,86,176,421,NA,NA,NA,95,171,465,NA,NA,NA,145,270,333,NA,NA,NA,136,0,768,NA,NA,NA,66,0,760,NA,NA,NA
Mildred Elley-New York Campus,0,606,387,NA,NA,NA,0,761,316,NA,NA,NA,0,235,842,NA,NA,NA,0,141,782,NA,NA,NA,0,79,511,NA,NA,NA,NA,NA,617,NA,NA,NA,NA,NA,617,NA,NA,NA
Mildred Elley-Pittsfield Campus,0,74,136,NA,NA,NA,0,151,101,NA,NA,NA,0,51,199,NA,NA,NA,0,51,188,NA,NA,NA,0,38,171,NA,NA,NA,0,0,196,NA,NA,NA,0,0,185,NA,NA,NA
Miles College,49,32,1469,NA,NA,NA,24,4,1622,NA,NA,NA,NA,NA,1820,NA,NA,NA,NA,NA,1873,NA,NA,NA,NA,NA,1782,NA,NA,NA,NA,NA,1666,NA,NA,NA,NA,NA,1691,NA,NA,NA
Miles Community College,154,171,180,NA,NA,NA,111,146,202,NA,NA,NA,79,185,233,NA,NA,NA,67,175,239,NA,NA,NA,65,147,208,NA,NA,NA,45,112,265,NA,NA,NA,60,99,282,NA,NA,NA
Millennia Atlantic University,NA,NA,105,NA,NA,100,NA,NA,95,NA,NA,77,NA,NA,99,0,0,151,NA,NA,91,0,0,189,NA,NA,95,NA,NA,144,NA,NA,60,1,0,51,NA,NA,55,7,6,24
Millennium Training Institute,NA,NA,130,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,133,NA,NA,NA,0,0,117,NA,NA,NA,0,0,177,NA,NA,NA,0,0,179,NA,NA,NA
Miller-Motte College-Greenville,NA,NA,NA,NA,NA,NA,0,113,27,NA,NA,NA,0,108,217,NA,NA,NA,0,85,208,NA,NA,NA,0,170,183,NA,NA,NA,0,93,353,NA,NA,NA,0,65,364,NA,NA,NA
Miller-Motte Technical College-Clarksville,NA,NA,NA,NA,NA,NA,0,126,76,NA,NA,NA,0,90,326,NA,NA,NA,0,95,239,NA,NA,NA,0,47,357,NA,NA,NA,0,131,393,NA,NA,NA,0,51,497,NA,NA,NA
Miller-Motte Technical College-Gulfport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,NA,NA,NA,0,19,51,NA,NA,NA,0,42,118,NA,NA,NA,0,17,220,NA,NA,NA,0,5,210,NA,NA,NA
Miller-Motte Technical College-Lynchburg,NA,NA,NA,NA,NA,NA,0,123,18,NA,NA,NA,0,147,193,NA,NA,NA,0,198,125,NA,NA,NA,0,287,122,NA,NA,NA,0,107,365,NA,NA,NA,0,42,403,NA,NA,NA
Miller-Motte Technical College-Madison,NA,NA,NA,NA,NA,NA,0,2,28,NA,NA,NA,0,18,146,NA,NA,NA,0,14,250,NA,NA,NA,0,0,319,NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,417,NA,NA,NA
Miller-Motte Technical College-Roanoke,NA,NA,NA,NA,NA,NA,0,52,23,NA,NA,NA,0,40,216,NA,NA,NA,0,102,138,NA,NA,NA,0,126,168,NA,NA,NA,0,98,199,NA,NA,NA,0,21,234,NA,NA,NA
Millersville University of Pennsylvania,349,1033,5368,176,76,744,254,764,5740,165,141,656,201,784,5982,172,83,692,74,840,6141,130,78,696,20,817,6334,125,53,698,24,951,6413,106,46,739,25,908,6491,93,36,815
Milligan College,25,287,517,46,46,304,26,290,543,1,31,280,22,294,564,0,15,300,21,253,617,1,22,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millikin University,2,262,1721,1,22,86,8,233,1709,2,13,75,11,260,1696,0,0,85,1,151,1909,0,11,80,0,20,2092,3,12,63,0,53,2100,0,0,108,3,6,2255,NA,NA,83
Mills College,NA,NA,768,0,0,489,NA,NA,761,NA,NA,549,NA,NA,821,NA,NA,524,NA,NA,859,NA,NA,538,NA,NA,917,NA,NA,625,NA,NA,985,NA,NA,610,NA,NA,949,NA,NA,596
Millsaps College,0,0,799,0,0,66,0,0,807,0,0,52,NA,NA,802,NA,NA,64,NA,NA,760,NA,NA,49,NA,NA,768,NA,NA,74,NA,NA,744,NA,NA,60,NA,NA,843,NA,NA,66
Milwaukee Area Technical College,1718,2562,10998,NA,NA,NA,1258,2542,9787,NA,NA,NA,645,4152,10105,NA,NA,NA,1283,3902,10001,NA,NA,NA,1592,3334,11786,NA,NA,NA,1333,4424,12204,NA,NA,NA,1427,3546,13145,NA,NA,NA
Milwaukee Career College,NA,NA,156,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,88,NA,NA,NA,0,0,61,NA,NA,NA
Milwaukee Institute of Art & Design,0,0,756,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,630,NA,NA,NA,NA,NA,627,NA,NA,NA,NA,NA,622,NA,NA,NA,NA,NA,667,NA,NA,NA,NA,NA,668,NA,NA,NA
Milwaukee School of Engineering,1,149,2446,28,23,173,1,133,2476,29,20,164,0,120,2522,15,20,169,0,21,2660,28,21,176,0,17,2579,6,17,191,NA,NA,2459,NA,NA,199,NA,NA,2378,NA,NA,186
Mind Body Institute,NA,NA,48,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,39,NA,NA,NA,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mineral Area College,445,939,1501,NA,NA,NA,387,1033,2280,NA,NA,NA,370,1114,2689,NA,NA,NA,340,1046,3002,NA,NA,NA,330,938,3364,NA,NA,NA,268,890,3350,NA,NA,NA,230,889,2665,NA,NA,NA
Mineral County Vocational Technical Center,NA,NA,19,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,22,NA,NA,NA
Minerva Schools at Keck Graduate Institute,NA,NA,NA,NA,NA,NA,468,NA,NA,NA,NA,NA,281,NA,NA,10,NA,NA,111,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mingo Extended Learning Center,NA,NA,34,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Business College,NA,NA,135,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,267,NA,NA,NA
Minneapolis College of Art and Design,2,102,637,65,10,38,7,102,579,31,14,41,0,122,581,44,13,43,2,77,599,49,16,53,5,99,568,49,19,43,NA,NA,688,45,0,58,0,151,465,41,0,68
Minneapolis Community and Technical College,662,1594,4695,NA,NA,NA,769,1642,5075,NA,NA,NA,823,1719,5440,NA,NA,NA,842,1682,6097,NA,NA,NA,825,1726,6686,NA,NA,NA,814,1725,7152,NA,NA,NA,679,1687,7725,NA,NA,NA
Minnesota School of Cosmetology-Plymouth Campus,NA,NA,93,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,71,NA,NA,NA,0,0,76,NA,NA,NA,0,0,86,NA,NA,NA,0,0,90,NA,NA,NA
Minnesota School of Cosmetology-Woodbury Campus,NA,NA,143,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,126,NA,NA,NA,0,0,122,NA,NA,NA,0,0,138,NA,NA,NA,0,0,194,NA,NA,NA
Minnesota State College Southeast,553,472,825,NA,NA,NA,517,513,890,NA,NA,NA,502,490,1047,NA,NA,NA,489,497,1073,NA,NA,NA,469,559,1149,NA,NA,NA,413,664,1130,NA,NA,NA,383,646,1272,NA,NA,NA
Minnesota State Community and Technical College,1256,1303,3663,NA,NA,NA,1215,1265,3942,NA,NA,NA,1310,1224,3782,NA,NA,NA,1280,1124,3987,NA,NA,NA,1277,1090,4048,NA,NA,NA,1289,852,4323,NA,NA,NA,1230,889,4667,NA,NA,NA
Minnesota State University Moorhead,477,1666,2685,736,98,198,510,1427,3193,641,47,187,435,1362,3408,400,92,226,364,1241,3638,297,76,228,379,1190,4162,302,76,197,356,1807,4000,242,55,174,342,2201,3878,189,117,176
Minnesota State University-Mankato,654,4697,7141,606,289,987,606,4353,7823,556,274,1100,559,3994,8639,488,251,1234,558,3403,9308,469,264,1311,514,3155,9726,416,288,1288,493,2922,10052,418,287,1254,434,2387,10683,345,253,1339
Minnesota West Community and Technical College,875,781,1706,NA,NA,NA,993,739,1430,NA,NA,NA,987,739,1324,NA,NA,NA,957,769,1300,NA,NA,NA,1058,715,1409,NA,NA,NA,1075,765,1391,NA,NA,NA,1065,887,1515,NA,NA,NA
Minot State University,843,583,1489,143,40,91,878,554,1524,119,43,98,968,531,1637,142,73,61,882,526,1656,146,83,55,949,466,1701,162,30,102,997,555,1702,152,20,107,956,502,1840,134,19,109
MiraCosta College,2748,3835,7137,NA,NA,NA,2673,3873,8071,NA,NA,NA,2676,3951,8174,NA,NA,NA,2347,3756,8959,NA,NA,NA,2112,3622,8953,NA,NA,NA,2108,3557,8872,NA,NA,NA,2019,3303,9401,NA,NA,NA
Mirrer Yeshiva Cent Institute,NA,NA,133,NA,NA,39,NA,NA,137,NA,NA,46,NA,NA,130,NA,NA,55,NA,NA,145,NA,NA,58,NA,NA,135,NA,NA,65,NA,NA,160,NA,NA,64,NA,NA,172,NA,NA,73
Misericordia University,244,429,1357,163,127,246,279,407,1460,144,180,238,317,347,1531,150,243,220,270,314,1816,148,176,239,304,244,1917,189,192,208,262,239,1916,202,134,273,224,307,1896,144,112,270
Missio Theological Seminary,NA,NA,NA,4,13,187,NA,NA,NA,22,28,177,NA,NA,NA,35,37,183,NA,NA,NA,36,25,197,NA,NA,NA,37,5,240,NA,NA,NA,39,18,237,NA,NA,NA,31,3,301
Mission Beauty Institute,NA,NA,19,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mission College,1113,1626,5041,NA,NA,NA,1171,1294,4955,NA,NA,NA,1149,1436,5283,NA,NA,NA,1201,1540,5835,NA,NA,NA,1062,1545,5828,NA,NA,NA,1065,1691,6374,NA,NA,NA,1146,1617,7116,NA,NA,NA
Mississippi College,225,1011,1996,520,201,1150,156,869,2217,278,206,1310,59,750,2336,216,445,1242,60,665,2279,188,233,1611,62,654,2268,155,218,1627,34,535,2336,151,270,1595,35,709,2298,115,687,1182
Mississippi College of Beauty Culture,NA,NA,63,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,55,NA,NA,NA,0,0,61,NA,NA,NA,0,0,82,NA,NA,NA,0,0,75,NA,NA,NA
Mississippi Community College Board,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi Delta Community College,370,292,1711,NA,NA,NA,317,769,1234,NA,NA,NA,284,694,1343,NA,NA,NA,250,294,1858,NA,NA,NA,262,292,2151,NA,NA,NA,186,419,2345,NA,NA,NA,229,363,2527,NA,NA,NA
Mississippi Gulf Coast Community College,1205,3098,4647,NA,NA,NA,1171,3056,4734,NA,NA,NA,1224,3144,4588,NA,NA,NA,1019,3271,5101,NA,NA,NA,1102,3259,5438,NA,NA,NA,1165,3056,5885,NA,NA,NA,1113,2658,6335,NA,NA,NA
Mississippi Institute of Aesthetics Nails & Cosmetology,NA,NA,70,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,88,NA,NA,NA,0,0,85,NA,NA,NA,0,0,58,NA,NA,NA,0,0,58,NA,NA,NA
Mississippi State University,812,1700,15978,973,174,2337,785,1725,15802,1003,177,2391,832,1676,15582,1013,184,2335,925,1633,14863,1024,213,2215,853,1309,14374,1126,169,2307,820,1204,14375,1131,202,2429,770,1156,14464,1245,228,2502
Mississippi University for Women,708,1039,758,105,20,81,756,938,883,81,25,106,770,894,1081,83,36,92,692,888,890,79,26,98,808,774,945,78,1,90,735,821,873,88,4,108,755,780,968,61,4,82
Mississippi Valley State University,87,513,1330,148,81,126,93,558,1326,167,64,177,50,608,1353,105,73,266,68,564,1316,143,45,173,39,49,1797,0,0,337,92,619,1215,32,74,171,119,10,2039,0,2,309
Missouri Baptist University,234,946,3212,292,157,451,151,868,3489,314,185,481,100,794,3738,306,149,645,35,670,3465,291,196,619,38,674,3379,395,198,638,30,653,3267,398,242,755,37,627,3186,325,258,779
Missouri College of Cosmetology North,NA,NA,58,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,71,NA,NA,NA,0,0,78,NA,NA,NA,NA,NA,88,NA,NA,NA,0,0,97,NA,NA,NA
Missouri Southern State University,1063,1739,3049,10,1,144,1057,1837,3127,20,0,133,992,1684,3441,26,1,87,861,1506,3365,26,2,23,773,1378,3410,27,0,25,762,1467,3358,27,0,2,727,1355,3269,55,3,8
Missouri State University-Springfield,952,6013,13173,1202,690,1667,850,5612,13902,1026,618,1689,772,5243,14301,852,573,1797,652,4481,13847,773,521,1999,537,4101,13879,673,573,2053,409,3297,14321,567,557,2120,244,2556,14634,440,538,2217
Missouri State University-West Plains,352,614,903,NA,NA,NA,276,697,945,NA,NA,NA,257,620,1064,NA,NA,NA,256,561,1144,NA,NA,NA,395,515,1254,NA,NA,NA,567,1144,412,NA,NA,NA,272,515,1315,NA,NA,NA
Missouri University of Science and Technology,28,959,5856,566,69,1123,17,1016,5886,598,122,1244,27,1100,5779,581,161,1187,28,2493,4318,631,218,1198,32,2241,4247,618,259,1243,24,1824,4297,618,177,1189,36,1079,4726,538,143,1123
